50-year and 100-year average accumulation rates,,,,
,,,,
Age (years before 1950 on WD2014),Advection-correction accumulation rate (ice eq.),,Age (years before 1950 on WD2014),Advection-correction accumulation rate (ice eq.)
40150,0.16005,,,
40200,0.15929,,,
40250,0.15745,,,
40300,0.15473,,,
40350,0.15297,,,
40400,0.15368,,,
40450,0.15507,,,
40500,0.15607,,,
40550,0.15674,,,
40600,0.15707,,,
40650,0.15543,,,
40700,0.15634,,,
40750,0.15415,,,
40800,0.15137,,,
40850,0.14946,,,
40900,0.1497,,,
40950,0.14934,,,
41000,0.14776,,,
41050,0.14486,,,
41100,0.14372,,,
41150,0.14417,,,
41200,0.14417,,,
41250,0.14291,,,
41300,0.14617,,,
41350,0.15071,,,
41400,0.15643,,,
41450,0.16026,,,
41500,0.16051,,,
41550,0.16223,,,
41600,0.16148,,,
41650,0.16081,,,
41700,0.15865,,,
41750,0.16162,,,
41800,0.16501,,,
41850,0.16824,,,
41900,0.16842,,,
41950,0.16505,,,
42000,0.16342,,,
42050,0.16044,,,
42100,0.15728,,,
42150,0.15574,,,
42200,0.1535,,,
42250,0.15129,,,
42300,0.14984,,,
42350,0.15096,,,
42400,0.15391,,,
42450,0.15545,,,
42500,0.15693,,,
42550,0.15666,,,
42600,0.15681,,,
42650,0.15913,,,
42700,0.1582,,,
42750,0.15979,,,
42800,0.16146,,,
42850,0.16432,,,
42900,0.16581,,,
42950,0.16676,,,
43000,0.16708,,,
43050,0.16825,,,
43100,0.17194,,,
43150,0.17269,,,
43200,0.17188,,,
43250,0.17344,,,
43300,0.17842,,,
43350,0.18124,,,
43400,0.18202,,,
43450,0.17984,,,
43500,0.17495,,,
43550,0.17639,,,
43600,0.17619,,,
43650,0.17641,,,
43700,0.17596,,,
43750,0.17203,,,
43800,0.16864,,,
43850,0.16601,,,
43900,0.16429,,,
43950,0.16434,,,
44000,0.16549,,,
44050,0.164,,,
44100,0.16213,,,
44150,0.1592,,,
44200,0.15584,,,
44250,0.15425,,,
44300,0.15289,,,
44350,0.15115,,,
44400,0.15048,,,
44450,0.15079,,,
44500,0.15422,,,
44550,0.15811,,,
44600,0.16061,,,
44650,0.16052,,,
44700,0.16009,,,
44750,0.15955,,,
44800,0.15969,,,
44850,0.16076,,,
44900,0.16137,,,
44950,0.16047,,,
45000,0.15919,,,
45050,0.15809,,,
45100,0.15759,,,
45150,0.16212,,,
45200,0.16414,,,
45250,0.16637,,,
45300,0.16723,,,
45350,0.16652,,,
45400,0.17115,,,
45450,0.17413,,,
45500,0.1772,,,
45550,0.17849,,,
45600,0.17805,,,
45650,0.17776,,,
45700,0.1795,,,
45750,0.18348,,,
45800,0.18445,,,
45850,0.18765,,,
45900,0.19101,,,
45950,0.1907,,,
46000,0.19401,,,
46050,0.19612,,,
46100,0.19772,,,
46150,0.20029,,,
46200,0.20252,,,
46250,0.20252,,,
46300,0.20309,,,
46350,0.20122,,,
46400,0.20239,,,
46450,0.20426,,,
46500,0.20601,,,
46550,0.20855,,,
46600,0.21208,,,
46650,0.21309,,,
46700,0.2159,,,
46750,0.21896,,,
46800,0.22137,,,
46850,0.22588,,,
46900,0.22697,,,
46950,0.22382,,,
47000,0.22155,,,
47050,0.21939,,,
47100,0.21767,,,
47150,0.21551,,,
47200,0.21306,,,
47250,0.20949,,,
47300,0.20666,,,
47350,0.20142,,,
47400,0.19925,,,
47450,0.19927,,,
47500,0.19959,,,
47550,0.19913,,,
47600,0.19775,,,
47650,0.19636,,,
47700,0.19514,,,
47750,0.19508,,,
47800,0.19456,,,
47850,0.19553,,,
47900,0.19614,,,
47950,0.19518,,,
48000,0.19042,,,
48050,0.18671,,,
48100,0.18248,,,
48150,0.18036,,,
48200,0.17867,,,
48250,0.17688,,,
48300,0.17324,,,
48350,0.17085,,,
48400,0.16796,,,
48450,0.16442,,,
48500,0.16238,,,
48550,0.16047,,,
48600,0.16078,,,
48650,0.16193,,,
48700,0.16266,,,
48750,0.16382,,,
48800,0.16307,,,
48850,0.16231,,,
48900,0.16344,,,
48950,0.1662,,,
49000,0.16734,,,
49050,0.16871,,,
49100,0.17205,,,
49150,0.17394,,,
49200,0.17271,,,
49250,0.17331,,,
49300,0.17529,,,
49350,0.17612,,,
49400,0.17558,,,
49450,0.17532,,,
49500,0.17441,,,
49550,0.17199,,,
49600,0.16827,,,
49650,0.16607,,,
49700,0.16305,,,
49750,0.16368,,,
49800,0.16436,,,
49850,0.16325,,,
49900,0.16243,,,
49950,0.16573,,,
50000,0.16705,,,
50050,0.16891,,,
50100,0.16831,,,
50150,0.16548,,,
50200,0.15943,,,
50250,0.15797,,,
50300,0.161,,,
50350,0.16325,,,
50400,0.16607,,,
50450,0.16771,,,
50500,0.16662,,,
50550,0.16685,,,
50600,0.16553,,,
50650,0.16453,,,
50700,0.16468,,,
50750,0.16322,,,
50800,0.16515,,,
50850,0.1645,,,
50900,0.16426,,,
50950,0.16576,,,
51000,0.16678,,,
51050,0.16907,,,
51100,0.16905,,,
51150,0.16815,,,
51200,0.16652,,,
51250,0.16379,,,
51300,0.16318,,,
51350,0.16382,,,
51400,0.16287,,,
51450,0.16277,,,
51500,0.16345,,,
51550,0.16143,,,
51600,0.16112,,,
51650,0.16203,,,
51700,0.16218,,,
51750,0.16113,,,
51800,0.16283,,,
51850,0.16392,,,
51900,0.16322,,,
51950,0.16271,,,
52000,0.16261,,,
52050,0.16341,,,
52100,0.16389,,,
52150,0.16521,,,
52200,0.16844,,,
52250,0.17133,,,
52300,0.17292,,,
52350,0.1742,,,
52400,0.17617,,,
52450,0.17534,,,
52500,0.1754,,,
52550,0.17449,,,
52600,0.17527,,,
52650,0.17796,,,
52700,0.1795,,,
52750,0.17905,,,
52800,0.18156,,,
52850,0.18361,,,
52900,0.18471,,,
52950,0.18832,,,
53000,0.1921,,,
53050,0.1942,,,
53100,0.19416,,,
53150,0.19282,,,
53200,0.1931,,,
53250,0.19426,,,
53300,0.19411,,,
53350,0.19546,,,
53400,0.19675,,,
53450,0.19865,,,
53500,0.19914,,,
53550,0.19911,,,
53600,0.19961,,,
53650,0.20027,,,
53700,0.20252,,,
53750,0.20553,,,
53800,0.20872,,,
53850,0.21146,,,
53900,0.21467,,,
53950,0.21506,,,
54000,0.21464,,,
54050,0.21634,,,
54100,0.21916,,,
54150,0.22047,,,
54200,0.21885,,,
54250,0.21919,,,
54300,0.21714,,,
54350,0.21363,,,
54400,0.20909,,,
54450,0.20826,,,
54500,0.2071,,,
54550,0.20702,,,
54600,0.20583,,,
54650,0.20611,,,
54700,0.20358,,,
54750,0.20058,,,
54800,0.19919,,,
54850,0.19802,,,
54900,0.19682,,,
54950,0.19464,,,
55000,0.19342,,,
55050,0.19331,,,
55100,0.19171,,,
55150,0.1899,,,
55200,0.1878,,,
55250,0.18565,,,
55300,0.18146,,,
55350,0.17876,,,
55400,0.17581,,,
55450,0.17487,,,
55500,0.17634,,,
55550,0.17572,,,
55600,0.17635,,,
55650,0.17773,,,
55700,0.18083,,,
55750,0.18464,,,
55800,0.18477,,,
55850,0.18346,,,
55900,0.18319,,,
55950,0.18266,,,
56000,0.18071,,,
56050,0.17813,,,
56100,0.17392,,,
56150,0.1708,,,
56200,0.1685,,,
56250,0.16585,,,
56300,0.16312,,,
56350,0.16166,,,
56400,0.16032,,,
56450,0.15939,,,
56500,0.15757,,,
56550,0.15471,,,
56600,0.15312,,,
56650,0.15278,,,
56700,0.15149,,,
56750,0.15318,,,
56800,0.15283,,,
56850,0.15304,,,
56900,0.15267,,,
56950,0.15288,,,
57000,0.15414,,,
57050,0.15588,,,
57100,0.15645,,,
57150,0.15851,,,
57200,0.15754,,,
57250,0.15689,,,
57300,0.15578,,,
57350,0.15638,,,
57400,0.16052,,,
57450,0.16275,,,
57500,0.16522,,,
57550,0.16586,,,
57600,0.16464,,,
57650,0.16642,,,
57700,0.16661,,,
57750,0.16928,,,
57800,0.17355,,,
57850,0.17571,,,
57900,0.17929,,,
57950,0.18141,,,
58000,0.18245,,,
58050,0.1846,,,
58100,0.18603,,,
58150,0.18684,,,
58200,0.18708,,,
58250,0.18712,,,
58300,0.18863,,,
58350,0.18938,,,
58400,0.19222,,,
58450,0.19448,,,
58500,0.19322,,,
58550,0.19112,,,
58600,0.18762,,,
58650,0.18412,,,
58700,0.18062,,,
58750,0.17885,,,
58800,0.17899,,,
58850,0.18246,,,
58900,0.19099,,,
58950,0.19762,,,
59000,0.20287,,,
59050,0.20737,,,
59100,0.20997,,,
59150,0.21529,,,
59200,0.21884,,,
59250,0.21755,,,
59300,0.2151,,,
59350,0.2083,,,
59400,0.20369,,,
59450,0.20166,,,
59500,0.20528,,,
59550,0.21068,,,
59600,0.21699,,,
59650,0.21884,,,
59700,0.21845,,,
59750,0.21803,,,
59800,0.21329,,,
59850,0.21255,,,
59900,0.21143,,,
59950,0.20998,,,
60000,0.2105,,,
60050,0.21004,,,
60100,0.20877,,,
60150,0.20585,,,
60200,0.20512,,,
60250,0.20472,,,
60300,0.20332,,,
60350,0.20297,,,
60400,0.2032,,,
60450,0.20242,,,
60500,0.20114,,,
60550,0.1994,,,
60600,0.19743,,,
60650,0.19677,,,
60700,0.19594,,,
60750,0.19609,,,
60800,0.19623,,,
60850,0.19757,,,
60900,0.19728,,,
60950,0.19633,,,
61000,0.19577,,,
61050,0.19416,,,
61100,0.19295,,,
61150,0.191,,,
61200,0.18929,,,
61250,0.18933,,,
61300,0.18961,,,
61350,0.1883,,,
61400,0.1877,,,
61450,0.18642,,,
61500,0.18614,,,
61550,0.18664,,,
61600,0.18783,,,
61650,0.18771,,,
61700,0.18759,,,
61750,0.18818,,,
61800,0.18824,,,
61850,0.18918,,,
61900,0.18938,,,
61950,0.18847,,,
62000,0.18786,,,
62050,0.18769,,,
62100,0.18692,,,
62150,0.18603,,,
62200,0.1859,,,
62250,0.18555,,,
62300,0.18417,,,
62350,0.18418,,,
62400,0.18304,,,
62450,0.18158,,,
62500,0.18072,,,
62550,0.17993,,,
62600,0.17817,,,
62650,0.17584,,,
62700,0.17433,,,
62750,0.172,,,
62800,0.17038,,,
62850,0.1693,,,
62900,0.16863,,,
62950,0.1681,,,
63000,0.16727,,,
63050,0.16658,,,
63100,0.1663,,,
63150,0.16578,,,
63200,0.16357,,,
63250,0.16135,,,
63300,0.15856,,,
63350,0.15655,,,
63400,0.15553,,,
63450,0.15339,,,
63500,0.15037,,,
63550,0.14891,,,
63600,0.1487,,,
63650,0.14852,,,
63700,0.14736,,,
63750,0.14505,,,
63800,0.14309,,,
63850,0.14366,,,
63900,0.14319,,,
63950,0.14216,,,
64000,0.14199,,,
64050,0.14202,,,
64100,0.14184,,,
64150,0.14321,,,
64200,0.14534,,,
64250,0.14726,,,
64300,0.15061,,,
64350,0.15511,,,
64400,0.15965,,,
64450,0.16199,,,
64500,0.16377,,,
64550,0.16559,,,
64600,0.16521,,,
64650,0.16568,,,
64700,0.16623,,,
64750,0.16632,,,
64800,0.16514,,,
64850,0.16413,,,
64900,0.16263,,,
64950,0.16,,,
65000,0.15842,,,
65050,0.15708,,,
65100,0.15544,,,
65150,0.1542,,,
65200,0.1538,,,
65250,0.1537,,,
65300,0.15265,,,
65350,0.1529,,,
65400,0.1546,,,
65450,0.15586,,,
65500,0.15607,,,
65550,0.15721,,,
65600,0.15831,,,
65650,0.15815,,,
65700,0.15749,,,
65750,0.15659,,,
65800,0.15671,,,
65850,0.15791,,,
65900,0.15787,,,
65950,0.15808,,,
66000,0.158,,,
66050,0.15774,,,
66100,0.15749,,,
66150,0.1558,,,
66200,0.15377,,,
66250,0.15271,,,
66300,0.15166,,,
66350,0.15187,,,
66400,0.15177,,,
66450,0.15186,,,
66500,0.15201,,,
66550,0.1518,,,
66600,0.15122,,,
66650,0.15019,,,
66700,0.14815,,,
66750,0.14471,,,
66800,0.14185,,,
66850,0.14043,,,
66900,0.13972,,,
66950,0.13889,,,
67000,0.13839,,,
67050,0.13836,,,
67100,0.13959,,,
67150,0.1421,,,
67200,0.14497,,,
67250,0.14724,,,
67300,0.14884,,,
67350,0.15009,,,
67400,0.15084,,,
67450,0.15085,,,
67500,0.15026,,,
67550,0.14849,,,
67600,0.14477,,,
67650,0.14005,,,
67700,0.13865,,,
